Drop message: type=WRITE, number=3, epoch=0, from=2
Drop message: type=WRITE, number=3, epoch=0, from=1
Drop message: type=WRITE, number=4, epoch=0, from=3
Drop message: type=WRITE, number=4, epoch=0, from=1
Drop message: type=WRITE, number=4, epoch=0, from=2
Drop message: type=WRITE, number=5, epoch=0, from=3
Drop message: type=WRITE, number=5, epoch=0, from=1
Drop message: type=WRITE, number=5, epoch=0, from=2
Drop message: type=WRITE, number=6, epoch=0, from=3
Drop message: type=WRITE, number=6, epoch=0, from=2
Drop message: type=WRITE, number=6, epoch=0, from=1
Drop message: type=WRITE, number=6, epoch=5, from=1
Drop message: type=WRITE, number=6, epoch=5, from=2
Drop message: type=WRITE, number=6, epoch=5, from=3
Drop message: type=WRITE, number=7, epoch=0, from=1
Drop message: type=WRITE, number=7, epoch=0, from=2
Drop message: type=WRITE, number=7, epoch=0, from=3
Drop message: type=WRITE, number=8, epoch=0, from=3
Drop message: type=WRITE, number=8, epoch=0, from=1
Drop message: type=WRITE, number=8, epoch=0, from=2
Drop message: type=WRITE, number=9, epoch=0, from=1
Drop message: type=WRITE, number=9, epoch=0, from=2
Drop message: type=WRITE, number=9, epoch=0, from=3
Drop message: type=WRITE, number=10, epoch=0, from=1
Drop message: type=WRITE, number=10, epoch=0, from=2
Drop message: type=WRITE, number=10, epoch=0, from=3
Drop message: type=WRITE, number=11, epoch=0, from=2
Drop message: type=WRITE, number=11, epoch=0, from=1
Drop message: type=WRITE, number=11, epoch=0, from=3
Drop message: type=WRITE, number=11, epoch=6, from=2
Drop message: type=WRITE, number=11, epoch=7, from=3
Drop message: type=WRITE, number=11, epoch=7, from=2
Drop message: type=WRITE, number=11, epoch=7, from=1
Drop message: type=WRITE, number=12, epoch=0, from=3
Drop message: type=WRITE, number=12, epoch=0, from=2
Drop message: type=WRITE, number=12, epoch=0, from=1
Drop message: type=WRITE, number=12, epoch=9, from=1
Drop message: type=WRITE, number=12, epoch=9, from=2
Drop message: type=WRITE, number=12, epoch=9, from=3
Drop message: type=WRITE, number=13, epoch=0, from=1
Drop message: type=WRITE, number=13, epoch=0, from=2
Drop message: type=WRITE, number=13, epoch=0, from=3
Drop message: type=WRITE, number=0, epoch=0, from=1
Drop message: type=WRITE, number=0, epoch=0, from=3
Drop message: type=WRITE, number=0, epoch=0, from=2
Drop message: type=WRITE, number=0, epoch=1, from=2
Drop message: type=WRITE, number=0, epoch=1, from=3
Drop message: type=WRITE, number=0, epoch=1, from=1
Drop message: type=WRITE, number=1, epoch=0, from=2
Drop message: type=WRITE, number=1, epoch=0, from=3
Drop message: type=WRITE, number=1, epoch=0, from=1
Drop message: type=WRITE, number=1, epoch=2, from=2
Drop message: type=WRITE, number=1, epoch=2, from=1
Drop message: type=WRITE, number=1, epoch=2, from=3
Drop message: type=WRITE, number=2, epoch=0, from=2
Drop message: type=WRITE, number=2, epoch=0, from=3
Drop message: type=WRITE, number=2, epoch=0, from=1
Drop message: type=WRITE, number=2, epoch=3, from=3
Drop message: type=WRITE, number=2, epoch=3, from=1
Drop message: type=WRITE, number=2, epoch=3, from=2
Drop message: type=WRITE, number=3, epoch=0, from=3
Drop message: type=WRITE, number=3, epoch=0, from=1
Drop message: type=WRITE, number=3, epoch=0, from=2
Drop message: type=WRITE, number=4, epoch=0, from=3
Drop message: type=WRITE, number=4, epoch=0, from=2
Drop message: type=WRITE, number=4, epoch=0, from=1
Drop message: type=WRITE, number=5, epoch=0, from=2
Drop message: type=WRITE, number=5, epoch=0, from=3
Drop message: type=WRITE, number=5, epoch=0, from=1
Drop message: type=WRITE, number=5, epoch=4, from=1
Drop message: type=WRITE, number=5, epoch=4, from=3
Drop message: type=WRITE, number=5, epoch=4, from=2
Drop message: type=WRITE, number=6, epoch=0, from=1
Drop message: type=WRITE, number=6, epoch=0, from=3
Drop message: type=WRITE, number=6, epoch=0, from=2
Drop message: type=WRITE, number=7, epoch=0, from=1
Drop message: type=WRITE, number=7, epoch=0, from=3
Drop message: type=WRITE, number=7, epoch=0, from=2
Drop message: type=WRITE, number=8, epoch=0, from=1
Drop message: type=WRITE, number=8, epoch=0, from=3
Drop message: type=WRITE, number=8, epoch=0, from=2
Drop message: type=WRITE, number=8, epoch=5, from=1
Drop message: type=WRITE, number=8, epoch=5, from=3
Drop message: type=WRITE, number=8, epoch=5, from=2
Drop message: type=WRITE, number=9, epoch=0, from=2
Drop message: type=WRITE, number=9, epoch=0, from=3
Drop message: type=WRITE, number=9, epoch=0, from=1
Drop message: type=WRITE, number=0, epoch=0, from=3
Drop message: type=WRITE, number=0, epoch=0, from=1
Drop message: type=WRITE, number=0, epoch=0, from=2
Drop message: type=WRITE, number=0, epoch=1, from=2
Drop message: type=WRITE, number=0, epoch=1, from=3
Drop message: type=WRITE, number=0, epoch=1, from=1
Drop message: type=WRITE, number=1, epoch=0, from=1
Drop message: type=WRITE, number=1, epoch=0, from=2
Drop message: type=WRITE, number=1, epoch=0, from=3
Drop message: type=WRITE, number=2, epoch=0, from=1
Drop message: type=WRITE, number=2, epoch=0, from=3
Drop message: type=WRITE, number=2, epoch=0, from=2
Drop message: type=WRITE, number=3, epoch=0, from=2
Drop message: type=WRITE, number=3, epoch=0, from=1
Drop message: type=WRITE, number=3, epoch=0, from=3
Drop message: type=WRITE, number=3, epoch=2, from=2
Drop message: type=WRITE, number=3, epoch=2, from=3
Drop message: type=WRITE, number=3, epoch=2, from=1
Drop message: type=WRITE, number=4, epoch=0, from=2
Drop message: type=WRITE, number=4, epoch=0, from=3
Drop message: type=WRITE, number=4, epoch=0, from=1
Drop message: type=WRITE, number=5, epoch=0, from=3
Drop message: type=WRITE, number=5, epoch=0, from=2
Drop message: type=WRITE, number=5, epoch=0, from=1
Drop message: type=WRITE, number=6, epoch=0, from=2
Drop message: type=WRITE, number=6, epoch=0, from=3
Drop message: type=WRITE, number=6, epoch=0, from=1
Drop message: type=WRITE, number=6, epoch=3, from=3
Drop message: type=WRITE, number=6, epoch=3, from=2
Drop message: type=WRITE, number=6, epoch=3, from=1
Drop message: type=WRITE, number=7, epoch=0, from=3
Drop message: type=WRITE, number=7, epoch=0, from=2
Drop message: type=WRITE, number=7, epoch=0, from=1
Drop message: type=WRITE, number=7, epoch=4, from=1
Drop message: type=WRITE, number=7, epoch=4, from=3
Drop message: type=WRITE, number=7, epoch=4, from=2
Drop message: type=WRITE, number=8, epoch=0, from=2
Drop message: type=WRITE, number=8, epoch=0, from=3
Drop message: type=WRITE, number=8, epoch=0, from=1
Drop message: type=WRITE, number=8, epoch=5, from=1
Drop message: type=WRITE, number=8, epoch=5, from=2
Drop message: type=WRITE, number=8, epoch=5, from=3
Drop message: type=WRITE, number=9, epoch=0, from=3
Drop message: type=WRITE, number=9, epoch=0, from=2
Drop message: type=WRITE, number=9, epoch=0, from=1
Drop message: type=WRITE, number=9, epoch=6, from=3
Drop message: type=WRITE, number=9, epoch=6, from=2
Drop message: type=WRITE, number=9, epoch=6, from=1
Drop message: type=WRITE, number=0, epoch=0, from=3
Drop message: type=WRITE, number=0, epoch=0, from=2
Drop message: type=WRITE, number=1, epoch=2, from=2
Drop message: type=WRITE, number=1, epoch=3, from=3
Drop message: type=WRITE, number=1, epoch=6, from=2
Drop message: type=WRITE, number=1, epoch=7, from=3
Drop message: type=WRITE, number=1, epoch=10, from=2
Drop message: type=WRITE, number=1, epoch=11, from=3
Drop message: type=WRITE, number=0, epoch=0, from=2
Drop message: type=WRITE, number=0, epoch=0, from=3
Drop message: type=WRITE, number=0, epoch=1, from=3
Drop message: type=WRITE, number=0, epoch=1, from=2
Drop message: type=WRITE, number=0, epoch=2, from=2
Drop message: type=WRITE, number=0, epoch=2, from=3
Drop message: type=WRITE, number=1, epoch=3, from=3
Drop message: type=WRITE, number=1, epoch=6, from=2
